ID_system,ID_star,Component,Name,RA_J2016,DE_J2016,Koenigstuhl,Karmn,SpT,SpTnum,SpT_ref,Discoverer,WDS_name,WDS_disc,WDS_comp,Teff,e_Teff,logg,e_logg,Lbol,Lberr,Mass_Lbol,Mass_MG,Mass_A,Mass_B,Mass_C,ra_A,ra_B,ra_C,dec_A,dec_B,dec_C,pmra_A,pmra_B,pmra_C,pmdec_A,pmdec_B,pmdec_C,d_A,d_B,d_C,rho_AB,rho_AC,theta_AB,theta_AC,muratio_AB,muratio_AC,deltaPA_AB,deltaPA_AC,deltad_AB,deltad_AC,s_AB,s_AC,Ug_AB,Ug_AC,Porb_AB,Porb_AC,gaia_id,ra,ra_error,dec,dec_error,parallax,parallax_error,d_pc,ed_pc,parallax_ref,pm,pmra,pmra_error,pmdec,pmdec_error,pm_ref,ruwe,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,radial_velocity_ref,2MASS_id,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph
1,1,A,LEHPM 494,00:21:11.11,-42:45:40.4,1A,,m5.5 V,75.5,Cif20,,,,A,2900.0,50.0,4.0,0.25,0.0015467893,1.73985E-5,0.10907956639269323,0.1290506140420815,0.10907956639269302,0.0793403835991136,,5.29630127289041,5.27621904366463,,-42.7612135927363,-42.7454237689004,,255.18387868508998,257.819623374968,,-12.4751077597904,-0.0280475318798332,,26.7867645886157,26.3619313978518,,77.777025255074,,316.950911876182,,0.04979895952254748,,2.7925425868123517,,0.015859817237668612,,2083.394865910485,,-7.327742364330883E33,,287934.61973420583,,4992138830007506048,5.29630127289041,0.026518166,-42.7612135927363,0.026518876,37.331869501888214,0.037753087000000005,26.7867645886157,0.0270890010989505,GaiaE3,255.48862999999997,255.18387868508998,0.030885938999999998,-12.4751077597904,0.039247483,GaiaE3,1.074302,15.345377,0.00282,17.600143,0.007390000000000001,13.985332500000002,0.0039299999999999995,1.5639902,,,,00211072-4245401,5.294677,-42.761154,12.001,11.37,11.054,0.022000000000000002,0.028999999999999998,0.026000000000000002,AAA,J002110.98-424540.3,10.839,10.624,10.49,9.126,0.023,0.021,0.061,,AAAU
1,2,B,2MASS J00210589-4244433,00:21:06.29,-42:44:43.5,1B,,L0.6: V,80.5,Bar14,Cab07a,00212-4246,KO 1,B,2200.0,25.0,5.5,0.25,2.953575E-4,1.11367E-5,0.07934038359911355,0.08033104664569102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4992141475707360640,5.27621904366463,0.31393966,-42.7454237689004,0.27214790000000005,37.9334876837396,0.40384406,26.3619313978518,0.280652005792588,GaiaE3,257.8196,257.819623374968,0.37409696,-0.0280475318798332,0.39061463,GaiaE3,2.5399187000000003,18.434513,0.006229999999999999,20.92151,0.16423,16.681396,0.007670000000000001,2.1891189,,,,00210589-4244433,5.274565,-42.745369000000004,13.520999999999999,12.809000000000001,12.304,0.025,0.025,0.025,AAA,J002106.15-424443.4,11.912,11.607000000000001,11.18,9.251,0.023,0.022000000000000002,0.105,,AAAU
2,3,A,NLTT 6496,01:56:45.99,+30:33:28.6,4A,J01567+305,M4.5 V,74.5,AF15,,,,A,3100.0,50.0,4.0,0.25,0.009855343,1.3908629999999998E-4,0.28695968485775936,0.2556216496831736,0.28695968485775897,0.153367182435262,,29.1916167897688,29.1739235764302,,30.557951724509998,30.4762688207718,,210.624601377501,208.183199625082,,-13.522663819860101,-13.464106838915301,,31.3968821215259,37.5307465388161,,299.134321927116,,190.57451281001207,,0.011570757782436785,,0.026911244976240853,,0.1953653994542595,,9391.88504404824,,-8.266175850200616E33,,1699131.1869396656,,301114663860498304,29.1916167897688,0.06619794,30.557951724509998,0.06985395,31.8502963488338,0.07636366,31.3968821215259,0.0752765627399279,GaiaE3,211.05826000000002,210.624601377501,0.09227902,-13.522663819860101,0.09041731,GaiaE3,4.581682,13.515149,0.0029,15.325679000000001,0.00718,12.230163000000001,0.00434,1.5115484,,,,01564570+3033288,29.190447,30.558008,10.323,9.718,9.449,0.023,0.031,0.021,AAA,J015645.89+303328.6,9.283999999999999,9.09,8.892000000000001,8.417,0.023,0.018000000000000002,0.028999999999999998,0.321,AAAB
2,4,B,NLTT 6491,01:56:41.74,+30:28:34.6,4B,,m5 V,75.0,Cif20,Cab12a,01568+3033,KO 4,B,3100.0,50.0,3.5,0.25,0.0031715821999999997,4.5862E-5,0.1533671824352617,0.16422154038643555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301109819137394432,29.1739235764302,0.036222823,30.4762688207718,0.031012882999999998,26.6448203732306,0.044434164000000005,37.5307465388161,0.0625880498869353,GaiaE3,208.61813,208.183199625082,0.042127542000000004,-13.464106838915301,0.04412569,GaiaE3,1.1088665,15.159594,0.0028399999999999996,17.099304,0.00919,13.853821,0.0039700000000000004,1.522769,,,,01564147+3028349,29.172824,30.476364,11.917,11.305,11.029000000000002,0.023,0.032,0.021,AAA,J015641.65+302834.6,10.856,10.672,10.469000000000001,8.654,0.023,0.021,0.096,,AAAU
3,5,A,LP 655-23,04:30:52.04,-08:49:22.0,2A,J04308-088,M4.0 V,74.0,AF15,,,,A,3200.0,50.0,4.0,0.25,0.014215,1.870799E-4,0.3393757921528856,0.3105412786901418,0.339375792152886,0.0936046801394342,,67.71683113019529,67.7149087892385,,-8.822790356940581,-8.81762620525059,,3.28598248849115,-3.97107040799356,,-161.793726694393,-157.29161172811,,30.1526162069549,31.301067081313896,,19.8088256946507,,339.80405290448243,,0.0527731912927996,,2.6097137905,,0.03808793460827782,,597.2879186812694,,-9.382072318602444E34,,25057.824752706034,,3197623222256888192,67.71683113019529,0.047433737999999996,-8.822790356940581,0.029307757,33.1646180595548,0.061219495,30.1526162069549,0.0556595566336329,GaiaE3,161.82709,3.28598248849115,0.068851754,-161.793726694393,0.05263146,GaiaE3,3.3700633,12.87416,0.00279,14.569823999999999,0.0030600000000000002,11.616135,0.0038,1.4931047,1.733,3.4610000000000003,Ter15,04305203-0849193,67.71680699999999,-8.822035000000001,9.853,9.283999999999999,8.99,0.024,0.022000000000000002,0.019,AAA,J043052.03-084921.1,8.817,8.63,8.457,8.763,0.024,0.02,0.024,0.423,AAAC
3,6,B,DENIS J043051.5-084900,04:30:51.58,-08:49:03.5,2B,,M8 V,78.0,Cru03,Cab07b,04309-0849,KO 2,B,2300.0,25.0,5.5,0.25,7.103328E-4,1.94578E-5,0.09360468013943424,0.08887525713609268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197623290976364544,67.7149087892385,0.17035061,-8.81762620525059,0.11387219999999999,31.94779262324189,0.24100442,31.301067081313896,0.23612571942842603,GaiaE3,157.34174,-3.97107040799356,0.23344617,-157.29161172811,0.19542356,GaiaE3,1.6874505000000002,17.426414,0.0040100000000000005,20.7583,0.08045,15.784092999999999,0.004529999999999999,1.9441767,,,,04305157-0849007,67.714912,-8.816875999999999,12.897,12.204,11.776,0.022000000000000002,0.022000000000000002,0.023,AAA,J043051.57-084902.6,11.479000000000001,11.208,10.745,9.099,0.024,0.021,0.105,,AAAU
4,7,A,2MASS J06101775+2234199,06:10:17.81,+22:34:17.2,,J06102+225,M4.0 V+,74.0,AF15,Jan14,06102+2234,JNN 269,Aab,3100.0,50.0,5.5,0.25,0.012152674,1.5162796E-4,,0.2890228402704782,0.3167175389321317,0.222,,92.57422150661742,92.5938197562825,,22.5714555341946,22.571694133628696,,42.256474425939004,39.0,,-153.05729783354099,-162.0,,28.6530364438468,22.8,,65.1550010464165,,89.24086937413759,,0.0599381003834406,,1.8980523766274344,,0.20427281608765524,,1866.8886194818485,,-6.643711461673092E34,,143334.17718738347,,3425067853982554240,92.57422150661742,0.025616301,22.5714555341946,0.022376936,34.9003150838748,0.027594067000000003,28.6530364438468,0.0226546323574672,GaiaE3,158.78333,42.256474425939004,0.03302649,-153.05729783354099,0.02474645,GaiaE3,1.4022096000000002,12.971657,0.0029,14.676995000000002,0.00813,11.709961999999999,0.00396,1.4962947,-10.39,9.806000000000001,Ter15,06101775+2234199,92.573996,22.572203,9.876,9.35,9.044,0.021,0.022000000000000002,0.018000000000000002,AAA,J061017.79+223418.0,8.892999999999999,8.697000000000001,8.636000000000001,8.896,0.023,0.019,0.035,0.502,AAAC
4,8,BaBb,LP 362-121,06:10:22.52,+22:34:18.1,,J06103+225,M6 V + m7 V,76.0,New14 + Law08,Law08,06104+2234,LAW 14,Bab,,,,,,,,0.1602070238501172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425067884045167488,92.5938197562825,0.9534608,22.571694133628696,0.8472677,43.9,3.7,22.8,1.9,Dit14,166.628,39.0,,-162.0,,Lep05,,14.154929000000001,0.0040100000000000005,16.392889999999998,0.00978,12.777944999999999,0.0045899999999999995,1.5885711999999999,9.0,4.0,New14,06102245+2234207,92.593568,22.572439000000003,10.644,10.091000000000001,9.746,0.022000000000000002,0.023,0.018000000000000002,AAA,J061022.48+223418.8,9.536,9.289,9.162,8.519,0.024,0.02,0.047,0.361,AAAC
5,9,A,BD+37 1541,06:35:38.65,+37:51:13.6,,,f0: V,40.0,Pec13,,,,,6400.0,50.0,2.5,0.25,7.9031262,0.17462951,1.6069878274615002,1.6021068979905255,1.6069878274615,0.39088269442390294,,98.9110285634473,98.9105288372953,,37.8537860067387,37.85278367848971,,-11.831135785880301,-11.694899759820304,,-19.9985918073247,-20.3334530590906,,218.854547181837,217.289607052767,,3.87790727408358,,201.48770749475005,,0.015558242486028015,,0.7028908001143145,,0.007150594535144692,,848.6976404827137,,-1.305599929781154E36,,19504.346375736528,,943408945458861312,98.9110285634473,0.015294548,37.8537860067387,0.015279418000000001,4.56924479238324,0.019287938,218.854547181837,0.92384040008056,GaiaE3,23.236166,-11.831135785880301,0.017537944,-19.9985918073247,0.014684837,GaiaE3,0.90491086,9.140927,0.0027600000000000003,9.35997,0.00288,8.767308,0.0038200000000000005,1.1865511999999998,0.67551434,1.6405603,Gaia2,06353865+3751139,98.911075,37.853882,8.342,8.195,8.138,0.023,0.017,0.02,AAA,J063538.64+375113.6,8.113999999999999,8.119,8.117,7.754,0.024,0.019,0.023,0.198,AAAB
5,10,B,Karmn J06353865+3751139 B,06:35:38.53,+37:51:10.0,,,m2.5 V,72.5,Cif20,This work,,,,,,,,,,,0.3908826944239028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943408949754423680,98.9105288372953,0.08628723,37.85278367848971,0.08569042,4.6021529219166,0.110013634,217.289607052767,5.19426879286566,GaiaE3,23.456768,-11.694899759820304,0.1255984,-20.3334530590906,0.106803395,GaiaE3,1.0988848999999998,16.438692,0.01951,15.29279,0.15788,14.646219,0.13817000000000002,4.2774982,,,,,,,,,,,,,,,,,,,,,,,
